#,TIME EST,TWEET
MHR32	13:46	(WASHINGTON) -- THE U-S COAST GUARD IN WASHINGTON SAYS A WIDESPREAD AIR-SEA RESCUE SEARCH 
MHR32	13:46	IS UNDERWAY NORTH OF CUBA FOR A PRIVATE AIRCRAFT MISSING TWO DAYS ON A FLIGHT FROM FLORIDA TO PUERTO RICO.
		
MHR33	13:47	(WASHINGTON) -- A GRAND JURY IN PRINCE GEORGES COUNTY, MARYLAND, RETURNED A MANSLAUGHTER INDICTMENT YESTERDAY
MHR33	13:47	AGAINST A WEST MIAMI BEACH NIGHT CLUB OPERATOR IN CONNECTION WITH AN ABORTION DEATH.
MHR33	13:47	EXTRADITION PROCEEDINGS TO SEND HIM TO MARYLAND TO FACE 
MHR33	13:47	SAID MANSLAUGHTE K $
		
		
	13:48	ETZBLAS)7 -- AN UNKNOWN SNIPER FIRED THSJ
	13:48	7, EMACVKENNEEY
	13:48	FLASH
	13:48	KENNEDY SERIOUSLY WOUNDED ----
		
		
	13:49	STAY OFF ALL OF YOU STAY OFF AND KEEP OFF GET OFF 
	13:49	WILL U U PLEASE STAY OFF THIS WIRE TILL WE GIVBBB HX
	13:49	STAY OFF STAY OFF
		
UPR74	13:40	BULLETIN (DALLAS) --- A SNIPER SERIOUSLY WOUNDED LDJ BIXENT KENNEDY IN DOWNTOWN DALLAS TODAY ... PERHAPS FATALLY.
		
	13:40	PLS RPT TT BUN HCR
		
UPR74	13:40	BULLETIN (DALLAS) --- ZA SNIPER SERIOUSLY WOUNDED PRESIDENT KENNEDY IN DOWNTOWN DALLAS TODAY ... PERHAPS FATALLY.
		
UPR75	13:43	BULLETIHN: (DALLAS) --- PRESIDENT KENNEDY AND GOVERNOR JOHN CONNALLY OF TEXAS HAVE BEEN CUT DOWN BY 
UPR75	13:43	ASSASSINS BULLETS IN DOWNTOWN DALLAS.THEY WERE RIDING IN AN OPEN AUTOMOBILE WHEN THE SHOTS WERE FIRED.
UPR75	13:43	THE PRESIDENT, HIS LIMP BODY CRADLED IN THE ARMS OF HIS WIFE, JACQUELINE, HAS BEEN RUSHED TO PARKLAND HOSPITAL.
		
	13:44	STAY OFF
		
